design,sbj,mpm,afi,asd
MWUD(4),1,0.8281628718143836,8.441528768081346e-17,0.8363819303842737
MWUD(4),2,0.9941145494857021,0.09622239740828484,0.7347488656606316
MWUD(4),3,1.0702851635368025,0.13970807724721043,0.6576872118113618
MWUD(4),4,1.1278987143634203,0.16527351390270278,0.5970536092355965
MWUD(4),5,1.1476490363183316,0.1831025379433768,0.5462646835650788
MWUD(4),6,1.1524596793977002,0.19646481588062648,0.501685870046745
MWUD(4),7,1.1254597618445799,0.20955768787616563,0.4554698762135115
MWUD(4),8,1.1152845809766456,0.21853359444928946,0.42162774398211683
MWUD(4),9,1.1185009390949507,0.22407051204258288,0.40438644272739854
MWUD(4),10,0.996334697585865,0.22751768562887228,0.3903685678456662
MWUD(4),11,1.1646140430902288,0.22704244290415423,0.377313048427511
MWUD(4),12,1.168037880544679,0.2302640824980393,0.3606699252033204
MWUD(4),13,1.1671838080418016,0.2328118055547341,0.34804116162906434
MWUD(4),14,1.1744937886937783,0.2349246659744701,0.33433442531512164
MWUD(4),15,1.1778244649817746,0.23687369747103848,0.32476870662768653
MWUD(4),16,1.1700174480917584,0.2389286337322137,0.31270172007293595
MWUD(4),17,1.130288017045175,0.24208014716108106,0.2942218673704597
MWUD(4),18,1.1146470305425562,0.24432969477775993,0.2815225310584407
MWUD(4),19,1.1142173764662915,0.2456180569622851,0.27795606366069564
MWUD(4),20,0.9895734170733034,0.2462468499079605,0.27486304402246636
MWUD(4),21,1.1605401554184707,0.24504599364512256,0.27244338278878366
MWUD(4),22,1.1655146299545356,0.2459246774612101,0.2654046847588369
MWUD(4),23,1.1713642516412641,0.24662221608155896,0.26207773447714683
MWUD(4),24,1.1831728989495678,0.24728626298315398,0.2569703761345906
MWUD(4),25,1.1825538954017296,0.24803670149676732,0.25206643439525334
MWUD(4),26,1.1710166400558049,0.24890484267006277,0.24514711693524865
MWUD(4),27,1.133797548110454,0.25052889146057683,0.2337376267155698
MWUD(4),28,1.1134776223120364,0.2517046234451133,0.22552807523642243
MWUD(4),29,1.1075625368577133,0.25227531624565136,0.22323155240964165
MWUD(4),30,0.9773160900671568,0.2524084228101249,0.22258071843181104
MWUD(4),31,1.153495864289714,0.25130643163744365,0.22263111325754126
MWUD(4),32,1.1658150177928026,0.2516739670174888,0.2201568901502455
MWUD(4),33,1.1743164524759007,0.251998056898122,0.2190318073814437
MWUD(4),34,1.1803186916740425,0.2523318961113947,0.21547217891136955
MWUD(4),35,1.1861111609121948,0.25270780232469353,0.2136914520737452
MWUD(4),36,1.16846005889235,0.2532378102500241,0.2080599553148383
MWUD(4),37,1.12863327895007,0.2542885455060529,0.19869583818419168
MWUD(4),38,1.1153577161297372,0.25502196061740806,0.19387943480244335
MWUD(4),39,1.110717244835262,0.2553532435964416,0.1930431515509121
MWUD(4),40,0.9861523544552657,0.2553812856542246,0.19396650432608303
MWUD(4),41,1.1569136094921704,0.2545099693191571,0.1941794074343219
MWUD(4),42,1.1662719912324362,0.25472292953245546,0.19235055266779774
MWUD(4),43,1.1697577886218629,0.2548954751606368,0.19118718429851012
MWUD(4),44,1.1922343391586472,0.25507017607214705,0.19143020448373074
MWUD(4),45,1.1855151605897791,0.2553480661886091,0.18861407563316412
MWUD(4),46,1.1727511587215054,0.2556972195178561,0.18446448608798796
MWUD(4),47,1.1314361250969818,0.2564948912234423,0.17692935414193792
MWUD(4),48,1.114700073278571,0.25704414414116766,0.1722155758648398
MWUD(4),49,1.1081336400524673,0.2572751999622224,0.17165398507081622
MWUD(4),50,1.0020988647969624,0.2572530747380106,0.17473004967384528
MWUD(4),51,1.1712987341992613,0.25657834615097874,0.1762243490224699
MWUD(4),52,1.1737481788362172,0.256761311450936,0.17387258291802105
MWUD(4),53,1.169084449808906,0.25690281985670366,0.1723741640075956
MWUD(4),54,1.1788207765688075,0.2569963240529905,0.17060253613985593
MWUD(4),55,1.175499994325355,0.2571268264478259,0.16904316962149468
MWUD(4),56,1.176024159302746,0.25733907869710165,0.1676876948011644
MWUD(4),57,1.132174543762807,0.257982358716902,0.16080204276615226
MWUD(4),58,1.1144505900705428,0.25841444970351846,0.15664709415457861
MWUD(4),59,1.1118865102901208,0.2585891945893473,0.1570647113215478
MWUD(4),60,0.9936584245073378,0.2585733341586352,0.15876331307627972
MWUD(4),61,1.1665374972822031,0.257964518220178,0.16051603611870105
MWUD(4),62,1.1738717740407145,0.25808776059462124,0.15942917780010185
MWUD(4),63,1.1788434101454843,0.25818419155613487,0.15911503679443864
MWUD(4),64,1.1845559605333973,0.25828450985768475,0.1575864640819989
MWUD(4),65,1.1799971271639307,0.25840414610177953,0.15593621549414638
MWUD(4),66,1.1669170333823353,0.25858526351980127,0.15349329060727704
MWUD(4),67,1.1270079838433014,0.25907995000974127,0.14777932718954515
MWUD(4),68,1.1107664522989236,0.2594133624501948,0.1442807513944036
MWUD(4),69,1.1053321232310274,0.25953251111551506,0.14431746255868377
MWUD(4),70,0.981574377996604,0.2594829712380892,0.14617758354635166
MWUD(4),71,1.152592708352376,0.25891396713986387,0.14707706731422052
MWUD(4),72,1.166348099019471,0.25896810226256795,0.1469038953341099
MWUD(4),73,1.1714697133392944,0.2590220412716665,0.14724261624544638
MWUD(4),74,1.1801151885634191,0.2590783231522894,0.1460820935359944
MWUD(4),75,1.1801031976820613,0.25915633683198425,0.14534159722755213
MWUD(4),76,1.1739912441153366,0.25930069138875567,0.14386286935423467
MWUD(4),77,1.141036526789001,0.2597448098256398,0.13917542361457433
